Oceano,pH,Temperatura,Dia,Mês,Ano
Atlantico,3,7.9,11,3,2023
Indico,6,5.9,12,3,2023
Pacifico,0,6.8,13,3,2023
Artico,5,3.7,14,3,2023
Atlantico,0,5.6,15,3,2023
Indico,7,5.5,16,3,2023
Pacifico,2,5.4,17,3,2023
Artico,7,7.3,18,3,2023
Atlantico,9,4.2,19,3,2023
Indico,8,5.1,20,3,2023
Pacifico,1,3,21,3,2023
Artico,7,7,22,3,2023
Atlantico,8,5.1,23,3,2023
Indico,9,4.2,24,3,2023
Pacifico,9,5.3,25,3,2023
Artico,5,7.4,26,3,2023
Atlantico,5,3.5,27,3,2023
Indico,4,3.6,28,3,2023
Pacifico,0,6.7,29,3,2023
Artico,1,5.8,30,3,2023
Atlantico,2,3.9,31,3,2023
Indico,3,6.9,1,4,2023
Pacifico,2,4.8,2,4,2023
Artico,3,6.7,3,4,2023
Atlantico,6,7.6,4,4,2023
Indico,0,7.5,5,4,2023
Pacifico,3,5.4,6,4,2023
Artico,8,5.3,7,4,2023
Atlantico,6,6.2,8,4,2023
Indico,9,4.1,9,4,2023
Pacifico,3,5,10,4,2023
Artico,3,6,11,4,2023
Atlantico,4,4.1,12,4,2023
Indico,0,7.2,13,4,2023
Pacifico,7,4.3,14,4,2023
Artico,7,3.4,15,4,2023
Atlantico,3,4.5,16,4,2023
Indico,4,5.6,17,4,2023
Pacifico,4,5.7,18,4,2023
Artico,9,4.8,19,4,2023
Atlantico,0,6.9,20,4,2023
Indico,2,4.9,21,4,2023
Pacifico,3,6.8,22,4,2023
Artico,1,6.7,23,4,2023
Atlantico,1,4.6,24,4,2023
Indico,5,3.5,25,4,2023
Pacifico,0,3.4,26,4,2023
Artico,1,6.3,27,4,2023
Atlantico,7,6.2,28,4,2023
Indico,9,4.1,29,4,2023
Pacifico,4,3,30,4,2023
Artico,5,4,1,5,2023
Atlantico,0,5.1,2,5,2023
Indico,0,5.2,3,5,2023
Pacifico,0,5.3,4,5,2023
Artico,2,5.4,5,5,2023
Atlantico,3,3.5,6,5,2023
Indico,8,5.6,7,5,2023
Pacifico,1,6.7,8,5,2023
Artico,2,6.8,9,5,2023
Atlantico,6,3.9,10,5,2023
Indico,1,6.9,11,5,2023
Pacifico,7,6.8,12,5,2023
Artico,4,7.7,13,5,2023
Atlantico,9,6.6,14,5,2023
Indico,8,3.5,15,5,2023
Pacifico,2,3.4,16,5,2023
Artico,4,7.3,17,5,2023
Atlantico,5,7.2,18,5,2023
Indico,3,3.1,19,5,2023
Pacifico,3,4,20,5,2023
Artico,2,6,21,5,2023
Atlantico,6,3.1,22,5,2023
Indico,9,5.2,23,5,2023
Pacifico,6,5.3,24,5,2023
Artico,7,3.4,25,5,2023
Atlantico,7,4.5,26,5,2023
Indico,9,4.6,27,5,2023
Pacifico,9,7.7,28,5,2023
Artico,4,3.8,29,5,2023
Atlantico,8,7.9,30,5,2023
Indico,3,5.9,31,5,2023
Pacifico,1,6.8,1,6,2023
Artico,0,4.7,2,6,2023
Atlantico,8,6.6,3,6,2023
Indico,3,6.5,4,6,2023
Pacifico,2,6.4,5,6,2023
Artico,7,7.3,6,6,2023
Atlantico,5,5.2,7,6,2023
Indico,2,4.1,8,6,2023
Pacifico,9,3,9,6,2023
Artico,4,6,10,6,2023
Atlantico,1,5.1,11,6,2023
Indico,9,4.2,12,6,2023
Pacifico,6,6.3,13,6,2023
Artico,8,6.4,14,6,2023
Atlantico,6,3.5,15,6,2023
Indico,3,3.6,16,6,2023
Pacifico,1,4.7,17,6,2023
Artico,7,5.8,18,6,2023
Atlantico,4,4.9,19,6,2023
Indico,6,3.9,20,6,2023
Pacifico,1,3.8,21,6,2023
Artico,4,3.7,22,6,2023
Atlantico,7,7.6,23,6,2023
Indico,9,3.5,24,6,2023
Pacifico,0,5.4,25,6,2023
Artico,6,5.3,26,6,2023
Atlantico,1,7.2,27,6,2023
Indico,0,4.1,28,6,2023
Pacifico,7,4,29,6,2023
Artico,3,3,30,6,2023
Atlantico,2,4.1,1,7,2023
Indico,4,7.2,2,7,2023
Pacifico,3,5.3,3,7,2023
Artico,2,7.4,4,7,2023
Atlantico,5,7.5,5,7,2023
Indico,3,5.6,6,7,2023
Pacifico,5,7.7,7,7,2023
Artico,3,4.8,8,7,2023
Atlantico,7,7.9,9,7,2023
Indico,1,4.9,10,7,2023
Pacifico,5,3.9,11,7,2023
Artico,8,4.8,12,7,2023
Atlantico,1,7.7,13,7,2023
Indico,6,4.6,14,7,2023
Pacifico,8,4.5,15,7,2023
Artico,9,7.4,16,7,2023
Atlantico,1,6.3,17,7,2023
Indico,2,7.2,18,7,2023
Pacifico,7,6.1,19,7,2023
Artico,0,4,20,7,2023
Atlantico,5,5,21,7,2023
Indico,2,7.1,22,7,2023
Pacifico,7,5.2,23,7,2023
Artico,0,7.3,24,7,2023
Atlantico,1,7.4,25,7,2023
Indico,2,3.5,26,7,2023
Pacifico,0,6.6,27,7,2023
Artico,9,6.7,28,7,2023
Atlantico,4,6.8,29,7,2023
Indico,5,4.9,30,7,2023
Pacifico,9,6.9,31,7,2023
Artico,5,6.8,1,8,2023
Atlantico,7,3.7,2,8,2023
Indico,3,7.6,3,8,2023
Pacifico,6,4.5,4,8,2023
Artico,0,5.4,5,8,2023
Atlantico,5,3.3,6,8,2023
Indico,0,3.2,7,8,2023
Pacifico,9,5.1,8,8,2023
Artico,5,7,9,8,2023
Atlantico,9,7,10,8,2023
Indico,0,5.1,11,8,2023
Pacifico,9,4.2,12,8,2023
Artico,6,7.3,13,8,2023
Atlantico,0,7.4,14,8,2023
Indico,5,6.5,15,8,2023
Pacifico,8,7.7,16,8,2023
Artico,9,6.8,17,8,2023
Atlantico,3,3.9,18,8,2023
Indico,9,4.9,19,8,2023
Pacifico,0,3.8,20,8,2023
Artico,2,3.7,21,8,2023
Atlantico,6,5.6,22,8,2023
Indico,7,4.5,23,8,2023
Pacifico,6,3.4,24,8,2023
Artico,0,7.3,25,8,2023
Atlantico,7,6.2,26,8,2023
Indico,9,5.1,27,8,2023
Pacifico,5,4,28,8,2023
Artico,4,3,29,8,2023
Atlantico,7,6.1,30,8,2023
Indico,9,7.2,31,8,2023
Pacifico,6,6.3,1,9,2023
Artico,3,4.4,2,9,2023
Atlantico,9,5.5,3,9,2023
Indico,0,4.6,4,9,2023
Pacifico,4,6.7,5,9,2023
Artico,9,6.8,6,9,2023
Atlantico,9,4.9,7,9,2023
Indico,2,3.9,8,9,2023
Pacifico,0,7.8,9,9,2023
Artico,2,7.7,10,9,2023
Atlantico,3,4.6,11,9,2023
Indico,7,4.5,12,9,2023
Pacifico,1,7.4,13,9,2023
Artico,5,3.3,14,9,2023
Atlantico,4,7.2,15,9,2023
Indico,7,5.1,16,9,2023
Pacifico,4,6,17,9,2023
Artico,4,4,18,9,2023
Atlantico,2,7.1,19,9,2023
Indico,8,5.2,20,9,2023
Pacifico,5,7.3,21,9,2023
Artico,7,5.4,22,9,2023
Atlantico,3,6.5,23,9,2023
Indico,7,4.6,24,9,2023
Pacifico,1,5.7,25,9,2023
Artico,2,3.8,26,9,2023
Atlantico,6,5.9,27,9,2023
Indico,3,4.9,28,9,2023
Pacifico,3,7.8,29,9,2023
Artico,8,3.7,30,9,2023
Atlantico,0,3.6,1,10,2023
Indico,2,7.5,2,10,2023
Pacifico,3,7.4,3,10,2023
Artico,2,6.3,4,10,2023
Atlantico,2,4.2,5,10,2023
Indico,9,5.1,6,10,2023
Pacifico,6,5,7,10,2023
Artico,9,5,8,10,2023
Atlantico,3,7.1,9,10,2023
Indico,6,6.2,10,10,2023
Pacifico,1,7.3,11,10,2023
Artico,3,6.4,12,10,2023
Atlantico,9,6.5,13,10,2023
Indico,1,3.6,14,10,2023
Pacifico,2,7.7,15,10,2023
Artico,8,7.8,16,10,2023
Atlantico,2,7.9,17,10,2023
Indico,6,4.9,18,10,2023
Pacifico,8,5.8,19,10,2023
Artico,6,3.7,20,10,2023
Atlantico,5,7.6,21,10,2023
Indico,9,3.5,22,10,2023
Pacifico,7,5.4,23,10,2023
Artico,1,6.3,24,10,2023
Atlantico,8,6.2,25,10,2023
Indico,4,3.1,26,10,2023
Pacifico,3,3,27,10,2023
Artico,8,3,28,10,2023
Atlantico,3,4.1,29,10,2023
Indico,5,5.2,30,10,2023
Pacifico,6,5.3,31,10,2023
Artico,0,7.4,1,11,2023
Atlantico,1,4.5,2,11,2023
Indico,8,3.6,3,11,2023
Pacifico,9,5.7,4,11,2023
Artico,2,7.8,5,11,2023
Atlantico,6,7.9,6,11,2023
Indico,4,5.9,7,11,2023
Pacifico,0,6.8,8,11,2023
Artico,2,3.7,9,11,2023
Atlantico,6,5.6,10,11,2023
Indico,7,5.5,11,11,2023
Pacifico,8,5.4,12,11,2023
Artico,6,7.3,13,11,2023
Atlantico,2,4.2,14,11,2023
Indico,0,5.1,15,11,2023
Pacifico,0,3,16,11,2023
Artico,0,7,17,11,2023
Atlantico,6,5.1,18,11,2023
Indico,6,4.2,19,11,2023
Pacifico,0,5.3,20,11,2023
Artico,9,7.4,21,11,2023
Atlantico,5,3.5,22,11,2023
Indico,5,3.6,23,11,2023
Pacifico,0,6.7,24,11,2023
Artico,5,5.8,25,11,2023
Atlantico,3,3.9,26,11,2023
Indico,6,6.9,27,11,2023
Pacifico,0,4.8,28,11,2023
Artico,5,6.7,29,11,2023
Atlantico,0,7.6,30,11,2023
Indico,7,7.5,1,12,2023
Pacifico,2,5.4,2,12,2023
Artico,7,5.3,3,12,2023
Atlantico,9,6.2,4,12,2023
Indico,8,4.1,5,12,2023
Pacifico,1,5,6,12,2023
Artico,7,6,7,12,2023
Atlantico,8,4.1,8,12,2023
Indico,9,7.2,9,12,2023
Pacifico,9,4.3,10,12,2023
Artico,5,3.4,11,12,2023
Atlantico,5,4.5,12,12,2023
Indico,4,5.6,13,12,2023
Pacifico,0,5.7,14,12,2023
Artico,1,4.8,15,12,2023
Atlantico,2,6.9,16,12,2023
Indico,3,4.9,17,12,2023
Pacifico,2,6.8,18,12,2023
Artico,3,6.7,19,12,2023
Atlantico,6,4.6,20,12,2023
Indico,0,3.5,21,12,2023
Pacifico,3,3.4,22,12,2023
Artico,8,6.3,23,12,2023
Atlantico,6,6.2,24,12,2023
Indico,9,4.1,25,12,2023
Pacifico,3,3,26,12,2023
Artico,3,4,27,12,2023
Atlantico,4,5.1,28,12,2023
Indico,0,5.2,29,12,2023
Pacifico,7,5.3,30,12,2023
Artico,7,5.4,31,12,2023
Atlantico,3,3.5,1,1,2024
Indico,4,5.6,2,1,2024
Pacifico,4,6.7,3,1,2024
Artico,9,6.8,4,1,2024
Atlantico,0,3.9,5,1,2024
Indico,2,6.9,6,1,2024
Pacifico,3,6.8,7,1,2024
Artico,1,7.7,8,1,2024
Atlantico,1,6.6,9,1,2024
Indico,5,3.5,10,1,2024
Pacifico,0,3.4,11,1,2024
Artico,1,7.3,12,1,2024
Atlantico,7,7.2,13,1,2024
Indico,9,3.1,14,1,2024
Pacifico,4,4,15,1,2024
Artico,5,6,16,1,2024
Atlantico,0,3.1,17,1,2024
Indico,0,5.2,18,1,2024
Pacifico,0,5.3,19,1,2024
Artico,2,3.4,20,1,2024
Atlantico,3,4.5,21,1,2024
Indico,8,4.6,22,1,2024
Pacifico,1,7.7,23,1,2024
Artico,2,3.8,24,1,2024
Atlantico,6,7.9,25,1,2024
Indico,1,5.9,26,1,2024
Pacifico,7,6.8,27,1,2024
Artico,4,4.7,28,1,2024
Atlantico,9,6.6,29,1,2024
Indico,8,6.5,30,1,2024
Pacifico,2,6.4,31,1,2024
Artico,4,7.3,1,2,2024
Atlantico,5,5.2,2,2,2024
Indico,3,4.1,3,2,2024
Pacifico,3,3,4,2,2024
Artico,2,6,5,2,2024
Atlantico,6,5.1,6,2,2024
Indico,9,4.2,7,2,2024
Pacifico,6,6.3,8,2,2024
Artico,7,6.4,9,2,2024
Atlantico,7,3.5,10,2,2024
Indico,9,3.6,11,2,2024
Pacifico,9,4.7,12,2,2024
Artico,4,5.8,13,2,2024
Atlantico,8,4.9,14,2,2024
Indico,3,3.9,15,2,2024
Pacifico,1,3.8,16,2,2024
Artico,0,3.7,17,2,2024
Atlantico,8,7.6,18,2,2024
Indico,3,3.5,19,2,2024
Pacifico,2,5.4,20,2,2024
Artico,7,5.3,21,2,2024
Atlantico,5,7.2,22,2,2024
Indico,2,4.1,23,2,2024
Pacifico,9,4,24,2,2024
Artico,4,3,25,2,2024
Atlantico,1,4.1,26,2,2024
Indico,9,7.2,27,2,2024
Pacifico,6,5.3,28,2,2024
Artico,8,7.4,29,2,2024
Atlantico,6,7.5,1,3,2024
Indico,3,5.6,2,3,2024
Pacifico,1,7.7,3,3,2024
Artico,7,4.8,4,3,2024
Atlantico,4,7.9,5,3,2024
Indico,6,4.9,6,3,2024
Pacifico,1,3.9,7,3,2024
Artico,4,4.8,8,3,2024
Atlantico,7,7.7,9,3,2024
Indico,9,4.6,10,3,2024
Pacifico,0,4.5,11,3,2024
Artico,6,7.4,12,3,2024
Atlantico,1,6.3,13,3,2024
Indico,0,7.2,14,3,2024
Pacifico,7,6.1,15,3,2024
Artico,3,4,16,3,2024
Atlantico,2,5,17,3,2024
Indico,4,7.1,18,3,2024
Pacifico,3,5.2,19,3,2024
Artico,2,7.3,20,3,2024
Atlantico,5,7.4,21,3,2024
Indico,3,3.5,22,3,2024
Pacifico,5,6.6,23,3,2024
Artico,3,6.7,24,3,2024
Atlantico,7,6.8,25,3,2024
Indico,1,4.9,26,3,2024
Pacifico,5,6.9,27,3,2024
Artico,8,6.8,28,3,2024
Atlantico,1,3.7,29,3,2024
Indico,6,7.6,30,3,2024
Pacifico,8,4.5,31,3,2024
Artico,9,5.4,1,4,2024
Atlantico,1,3.3,2,4,2024
Indico,2,3.2,3,4,2024
Pacifico,7,5.1,4,4,2024
Artico,0,7,5,4,2024
Atlantico,5,7,6,4,2024
Indico,2,5.1,7,4,2024
Pacifico,7,4.2,8,4,2024
Artico,0,7.3,9,4,2024
Atlantico,1,7.4,10,4,2024
Indico,2,6.5,11,4,2024
Pacifico,0,7.7,12,4,2024
Artico,9,6.8,13,4,2024
Atlantico,4,3.9,14,4,2024
Indico,5,4.9,15,4,2024
Pacifico,9,3.8,16,4,2024
Artico,5,3.7,17,4,2024
Atlantico,7,5.6,18,4,2024
Indico,3,4.5,19,4,2024
Pacifico,6,3.4,20,4,2024
Artico,0,7.3,21,4,2024
Atlantico,5,6.2,22,4,2024
Indico,0,5.1,23,4,2024
Pacifico,9,4,24,4,2024
Artico,5,3,25,4,2024
Atlantico,9,6.1,26,4,2024
Indico,0,7.2,27,4,2024
Pacifico,9,6.3,28,4,2024
Artico,6,4.4,29,4,2024
Atlantico,0,5.5,30,4,2024
Indico,5,4.6,1,5,2024
Pacifico,8,6.7,2,5,2024
Artico,9,6.8,3,5,2024
Atlantico,3,4.9,4,5,2024
Indico,9,3.9,5,5,2024
Pacifico,0,7.8,6,5,2024
Artico,2,7.7,7,5,2024
Atlantico,6,4.6,8,5,2024
Indico,7,4.5,9,5,2024
Pacifico,6,7.4,10,5,2024
Artico,0,3.3,11,5,2024
Atlantico,7,7.2,12,5,2024
Indico,9,5.1,13,5,2024
Pacifico,5,6,14,5,2024
Artico,4,4,15,5,2024
Atlantico,7,7.1,16,5,2024
Indico,9,5.2,17,5,2024
Pacifico,6,7.3,18,5,2024
Artico,3,5.4,19,5,2024
Atlantico,9,6.5,20,5,2024
Indico,0,4.6,21,5,2024
Pacifico,4,5.7,22,5,2024
Artico,9,3.8,23,5,2024
Atlantico,9,5.9,24,5,2024
Indico,2,4.9,25,5,2024
Pacifico,0,7.8,26,5,2024
Artico,2,3.7,27,5,2024
Atlantico,3,3.6,28,5,2024
Indico,7,7.5,29,5,2024
Pacifico,1,7.4,30,5,2024
Artico,5,6.3,31,5,2024
Atlantico,4,4.2,1,6,2024
Indico,7,5.1,2,6,2024
Pacifico,4,5,3,6,2024
Artico,4,5,4,6,2024
Atlantico,2,7.1,5,6,2024
Indico,8,6.2,6,6,2024
Pacifico,5,7.3,7,6,2024
Artico,7,6.4,8,6,2024
Atlantico,3,6.5,9,6,2024
Indico,7,3.6,10,6,2024
Pacifico,1,7.7,11,6,2024
Artico,2,7.8,12,6,2024
Atlantico,6,7.9,13,6,2024
Indico,3,4.9,14,6,2024
Pacifico,3,5.8,15,6,2024
Artico,8,3.7,16,6,2024
Atlantico,0,7.6,17,6,2024
Indico,2,3.5,18,6,2024
Pacifico,3,5.4,19,6,2024
Artico,2,6.3,20,6,2024
Atlantico,2,6.2,21,6,2024
Indico,9,3.1,22,6,2024
Pacifico,6,3,23,6,2024
Artico,9,3,24,6,2024
Atlantico,3,4.1,25,6,2024
Indico,6,5.2,26,6,2024
Pacifico,1,5.3,27,6,2024
Artico,3,7.4,28,6,2024
Atlantico,9,4.5,29,6,2024
Indico,1,3.6,30,6,2024
Pacifico,2,5.7,1,7,2024
Artico,8,7.8,2,7,2024
Atlantico,2,7.9,3,7,2024
Indico,6,5.9,4,7,2024
Pacifico,8,6.8,5,7,2024
Artico,6,3.7,6,7,2024
Atlantico,5,5.6,7,7,2024
Indico,9,5.5,8,7,2024
Pacifico,7,5.4,9,7,2024
Artico,1,7.3,10,7,2024
Atlantico,8,4.2,11,7,2024
Indico,4,5.1,12,7,2024
Pacifico,3,3,13,7,2024
Artico,8,7,14,7,2024
Atlantico,3,5.1,15,7,2024
Indico,5,4.2,16,7,2024
Pacifico,6,5.3,17,7,2024
Artico,0,7.4,18,7,2024
Atlantico,1,3.5,19,7,2024
Indico,8,3.6,20,7,2024
Pacifico,9,6.7,21,7,2024
Artico,2,5.8,22,7,2024
Atlantico,6,3.9,23,7,2024
Indico,4,6.9,24,7,2024
Pacifico,0,4.8,25,7,2024
Artico,2,6.7,26,7,2024
Atlantico,6,7.6,27,7,2024
Indico,7,7.5,28,7,2024
Pacifico,8,5.4,29,7,2024
Artico,6,5.3,30,7,2024
Atlantico,2,6.2,31,7,2024
Indico,0,4.1,1,8,2024
Pacifico,0,5,2,8,2024
Artico,0,6,3,8,2024
Atlantico,6,4.1,4,8,2024
Indico,6,7.2,5,8,2024
Pacifico,0,4.3,6,8,2024
Artico,9,3.4,7,8,2024
Atlantico,5,4.5,8,8,2024
Indico,5,5.6,9,8,2024
Pacifico,0,5.7,10,8,2024
Artico,5,4.8,11,8,2024
Atlantico,3,6.9,12,8,2024
Indico,6,4.9,13,8,2024
Pacifico,0,6.8,14,8,2024
Artico,5,6.7,15,8,2024
Atlantico,0,4.6,16,8,2024
Indico,7,3.5,17,8,2024
Pacifico,2,3.4,18,8,2024
Artico,7,6.3,19,8,2024
Atlantico,9,6.2,20,8,2024
Indico,8,4.1,21,8,2024
Pacifico,1,3,22,8,2024
Artico,7,4,23,8,2024
Atlantico,8,5.1,24,8,2024
Indico,9,5.2,25,8,2024
Pacifico,9,5.3,26,8,2024
Artico,5,5.4,27,8,2024
Atlantico,5,3.5,28,8,2024
Indico,4,5.6,29,8,2024
Pacifico,0,6.7,30,8,2024
Artico,1,6.8,31,8,2024
Atlantico,2,3.9,1,9,2024
Indico,3,6.9,2,9,2024
Pacifico,2,6.8,3,9,2024
Artico,3,7.7,4,9,2024
Atlantico,6,6.6,5,9,2024
Indico,0,3.5,6,9,2024
Pacifico,3,3.4,7,9,2024
Artico,8,7.3,8,9,2024
Atlantico,6,7.2,9,9,2024
Indico,9,3.1,10,9,2024
Pacifico,3,4,11,9,2024
Artico,3,6,12,9,2024
Atlantico,4,3.1,13,9,2024
Indico,0,5.2,14,9,2024
Pacifico,7,5.3,15,9,2024
Artico,7,3.4,16,9,2024
Atlantico,3,4.5,17,9,2024
Indico,4,4.6,18,9,2024
Pacifico,4,7.7,19,9,2024
Artico,9,3.8,20,9,2024
Atlantico,0,7.9,21,9,2024
Indico,2,5.9,22,9,2024
Pacifico,3,6.8,23,9,2024
Artico,1,4.7,24,9,2024
Atlantico,1,6.6,25,9,2024
Indico,5,6.5,26,9,2024
Pacifico,0,6.4,27,9,2024
Artico,1,7.3,28,9,2024
Atlantico,7,5.2,29,9,2024
Indico,9,4.1,30,9,2024
Pacifico,4,3,1,10,2024
Artico,5,6,2,10,2024
Atlantico,0,5.1,3,10,2024
Indico,0,4.2,4,10,2024
Pacifico,0,6.3,5,10,2024
Artico,2,6.4,6,10,2024
Atlantico,3,3.5,7,10,2024
Indico,8,3.6,8,10,2024
Pacifico,1,4.7,9,10,2024
Artico,2,5.8,10,10,2024
Atlantico,6,4.9,11,10,2024
Indico,1,3.9,12,10,2024
Pacifico,7,3.8,13,10,2024
Artico,4,3.7,14,10,2024
Atlantico,9,7.6,15,10,2024
Indico,8,3.5,16,10,2024
Pacifico,2,5.4,17,10,2024
Artico,4,5.3,18,10,2024
Atlantico,5,7.2,19,10,2024
Indico,3,4.1,20,10,2024
Pacifico,3,4,21,10,2024
Artico,2,3,22,10,2024
Atlantico,6,4.1,23,10,2024
Indico,9,7.2,24,10,2024
Pacifico,6,5.3,25,10,2024
Artico,7,7.4,26,10,2024
Atlantico,7,7.5,27,10,2024
Indico,9,5.6,28,10,2024
Pacifico,9,7.7,29,10,2024
Artico,4,4.8,30,10,2024
Atlantico,8,7.9,31,10,2024
Indico,3,4.9,1,11,2024
Pacifico,1,3.9,2,11,2024
Artico,0,4.8,3,11,2024
Atlantico,8,7.7,4,11,2024
Indico,3,4.6,5,11,2024
Pacifico,2,4.5,6,11,2024
Artico,7,7.4,7,11,2024
Atlantico,5,6.3,8,11,2024
Indico,2,7.2,9,11,2024
Pacifico,9,6.1,10,11,2024
Artico,4,4,11,11,2024
Atlantico,1,5,12,11,2024
Indico,9,7.1,13,11,2024
Pacifico,6,5.2,14,11,2024
Artico,8,7.3,15,11,2024
Atlantico,6,7.4,16,11,2024
Indico,3,3.5,17,11,2024
Pacifico,1,6.6,18,11,2024
Artico,7,6.7,19,11,2024
Atlantico,4,6.8,20,11,2024
Indico,6,4.9,21,11,2024
Pacifico,1,6.9,22,11,2024
Artico,4,6.8,23,11,2024
Atlantico,7,3.7,24,11,2024
Indico,9,7.6,25,11,2024
Pacifico,0,4.5,26,11,2024
Artico,6,5.4,27,11,2024
Atlantico,1,3.3,28,11,2024
Indico,0,3.2,29,11,2024
Pacifico,7,5.1,30,11,2024
Artico,3,7,1,12,2024
Atlantico,2,7,2,12,2024
Indico,4,5.1,3,12,2024
Pacifico,3,4.2,4,12,2024
Artico,2,7.3,5,12,2024
Atlantico,5,7.4,6,12,2024
Indico,3,6.5,7,12,2024
Pacifico,5,7.7,8,12,2024
Artico,3,6.8,9,12,2024
Atlantico,7,3.9,10,12,2024
Indico,1,4.9,11,12,2024
Pacifico,5,3.8,12,12,2024
Artico,8,3.7,13,12,2024
Atlantico,1,5.6,14,12,2024
Indico,6,4.5,15,12,2024
Pacifico,8,3.4,16,12,2024
Artico,9,7.3,17,12,2024
Atlantico,1,6.2,18,12,2024
Indico,2,5.1,19,12,2024
Pacifico,7,4,20,12,2024
Artico,0,3,21,12,2024
Atlantico,5,6.1,22,12,2024
Indico,2,7.2,23,12,2024
Pacifico,7,6.3,24,12,2024
Artico,0,4.4,25,12,2024
Atlantico,1,5.5,26,12,2024
Indico,2,4.6,27,12,2024
Pacifico,0,6.7,28,12,2024
Artico,9,6.8,29,12,2024
Atlantico,4,4.9,30,12,2024
Indico,5,3.9,31,12,2024
